host_time,seq,t_ms,setA,velA,pwmA,setB,velB,pwmB,setC,velC,pwmC
0.0195,19256,252305,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19257,252310,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19258,252315,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19259,252320,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19260,252325,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19261,252330,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19262,252335,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0195,19263,252340,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19265,252350,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19266,252355,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19267,252360,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19268,252365,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19269,252370,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19270,252375,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19271,252380,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0865,19272,252385,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19273,252390,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19274,252395,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19275,252400,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19276,252405,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19277,252410,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19278,252415,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19279,252420,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19280,252425,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19281,252430,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19282,252435,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19283,252440,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19284,252445,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19285,252450,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19286,252455,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19287,252460,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1886,19288,252465,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19289,252470,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19290,252475,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19291,252480,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19292,252485,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19293,252490,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19294,252495,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19295,252500,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19296,252505,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19297,252510,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19298,252515,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19299,252520,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19300,252525,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19301,252530,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19302,252535,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19303,252540,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19304,252545,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19305,252550,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19306,252555,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19307,252560,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19308,252565,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19309,252570,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19310,252575,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19311,252580,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2869,19312,252585,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19313,252590,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19314,252595,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19315,252600,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19316,252605,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19317,252610,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19318,252615,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19319,252620,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19320,252625,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19321,252630,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19322,252635,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19323,252640,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19324,252645,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19325,252650,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19326,252655,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19327,252660,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3404,19328,252665,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19329,252670,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19330,252675,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19331,252680,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19332,252685,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19333,252690,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19334,252695,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19335,252700,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19336,252705,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19337,252710,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19338,252715,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19339,252720,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19340,252725,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19341,252730,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19342,252735,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19343,252740,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19344,252745,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19345,252750,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19346,252755,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19347,252760,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19348,252765,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19349,252770,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19350,252775,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19351,252780,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19352,252785,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19353,252790,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19354,252795,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19355,252800,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19356,252805,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19357,252810,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19358,252815,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19359,252820,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19360,252825,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19361,252830,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19362,252835,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19363,252840,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19364,252845,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19365,252850,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19366,252855,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19367,252860,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1908,19368,252865,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19369,253030,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19370,253035,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19371,253040,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19372,253045,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19373,253050,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19374,253055,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19375,253060,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.1989,19376,253065,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19377,253070,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19378,253075,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19379,253080,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19380,253085,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19381,253090,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19382,253095,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19383,253100,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19384,253105,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19385,255531,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19386,255536,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2845,19387,255541,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2860,19388,255546,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2860,19389,255551,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2860,19390,255556,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2860,19391,255561,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
3.2860,19392,255566,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
