host_time,seq,t_ms,setA,velA,pwmA,setB,velB,pwmB,setC,velC,pwmC
0.0147,122812,1101090,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122813,1101095,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122814,1101100,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122815,1101105,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122816,1101110,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122817,1101115,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122818,1101120,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0147,122819,1101125,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122823,1101145,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122824,1101150,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122825,1101155,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122826,1101160,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122827,1101165,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122828,1101170,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122829,1101175,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122830,1101180,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122831,1101185,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122832,1101190,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122833,1101195,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122834,1101200,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122835,1101205,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122836,1101210,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122837,1101215,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1086,122838,1101220,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122839,1101225,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122840,1101230,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122841,1101235,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122842,1101240,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122843,1101245,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122844,1101250,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122845,1101255,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122846,1101260,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122847,1101265,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122848,1101270,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122849,1101275,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122850,1101280,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122851,1101285,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122852,1101290,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122853,1101295,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2207,122854,1101300,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
